,DECISIONTREE,RANDOMFORREST,LGBM,XGB,NB,ANN,CNN
0,0.0,0.0,2.1960135829976627e-05,3.3084448e-06,2.1779465698508913e-59,0.0,0.0
1,1.0,1.0,0.9999781567171908,0.99999225,1.0,1.0,0.0
2,0.0,0.0,2.196006093735918e-05,2.925203e-05,1.2689156095621266e-67,0.0,0.0
3,1.0,1.0,0.9999781567171908,0.9999715,1.0,1.0,1.0
4,0.0,0.0,2.1960135829976627e-05,1.579265e-05,1.1142409146114516e-23,3.9703392e-25,0.0
5,0.0,0.0,2.196006093735918e-05,5.6758334e-05,1.0769637859618812e-67,4.7926644e-35,0.0
6,0.0,0.0,2.1960135829976627e-05,2.916009e-06,6.905777030106722e-70,0.0,0.0
7,0.0,0.0,2.1960135829976627e-05,5.510711e-06,2.644701708051987e-125,0.0,0.0
8,1.0,1.0,0.9999781567171908,0.99999046,1.0,1.0,0.0
9,0.0,0.0,2.1960135829976627e-05,5.0553963e-06,3.7534574393501516e-76,0.0,0.0
10,0.0,0.0,2.1960135829976627e-05,3.0608246e-06,3.367919888985985e-79,0.0,0.0
11,1.0,1.0,0.9999781567171908,0.99999166,1.0,1.0,0.0
12,1.0,1.0,0.9999781567171908,0.99999297,1.0,1.0,0.0
13,0.0,0.0,2.1960135829976627e-05,2.916009e-06,9.372854797818692e-70,0.0,0.0
14,1.0,1.0,0.9999781567171908,0.9999864,1.0,1.0,0.0
15,0.0,0.0,2.1960135864660634e-05,4.873393e-06,4.300548621796502e-59,0.0,0.0
16,1.0,1.0,0.9999781567171908,0.9999808,1.0,1.0,0.0
17,0.0,0.0,2.1960135829976627e-05,4.498501e-06,1.5485037804345282e-51,0.0,0.0
18,1.0,1.0,0.9999781567171908,0.9999864,1.0,1.0,0.0
19,0.0,0.0,2.1960057673969665e-05,0.00026102975,8.915712447602708e-178,0.0,0.0
20,0.0,0.0,2.1960135829976627e-05,5.510711e-06,2.6049689466655272e-126,0.0,0.0
21,0.0,0.0,2.196022548690816e-05,9.719351e-05,4.4114265973373396e-41,3.1522758e-30,0.0
22,0.0,0.0,2.1960135829976627e-05,5.0553963e-06,3.3392630472251597e-62,0.0,0.0
23,0.0,0.0,2.1960135864660634e-05,3.7621592e-06,8.317632387851107e-55,0.0,0.0
24,0.0,0.0,2.1960135829976627e-05,4.4557446e-06,1.702079291539219e-74,0.0,0.0
25,0.0,0.0,2.1960135829976627e-05,1.579265e-05,2.287963638543795e-15,2.5617064e-23,0.0
26,0.0,0.0,2.1960135829976627e-05,4.498501e-06,2.0661154395400833e-59,0.0,0.0
27,0.0,0.0,2.1960132566575986e-05,1.3974109e-05,8.297701712719892e-44,1.0288442e-35,0.0
28,1.0,1.0,0.9999781567171908,0.99999154,1.0,1.0,1.0
29,1.0,1.0,0.9999781567171908,0.99998355,1.0,0.9999969,0.0
30,1.0,1.0,0.9999781567171908,0.99997663,1.0,1.0,0.0
31,1.0,1.0,0.9999783219788385,0.99997497,1.0,0.9999991,0.0
32,1.0,0.98,0.99996461632966,0.99986315,1.0,0.82581836,0.0
33,1.0,1.0,0.9999781567171908,0.9999914,1.0,1.0,0.0
34,1.0,1.0,0.9999781567171908,0.9999881,1.0,1.0,0.0
35,0.0,0.0,2.1960135829976627e-05,3.9649058e-06,2.749946860064656e-85,0.0,0.0
36,1.0,1.0,0.9999781567171908,0.9999924,1.0,1.0,1.0
37,0.0,0.0,2.1960057673969665e-05,0.00026102975,3.3439453105776574e-53,8.998516e-30,0.0
38,1.0,1.0,0.9999781567171908,0.9999839,1.0,1.0,0.0
39,1.0,1.0,0.9999781567171908,0.9999962,1.0,1.0,0.0
40,0.0,0.0,2.1960135829976627e-05,3.9649058e-06,1.9784698390906513e-78,0.0,0.0
41,1.0,1.0,0.9999781567171908,0.9999902,1.0,1.0,0.0
42,0.0,0.0,2.1960135829976627e-05,3.9649058e-06,4.020792207693437e-80,0.0,0.0
43,0.0,0.0,2.1960135829976627e-05,4.4557446e-06,2.905418887353133e-73,0.0,0.0
44,1.0,1.0,0.9999781567171908,0.9999932,1.0,1.0,1.0
45,0.0,0.0,2.1960135829976627e-05,5.510711e-06,9.95638545070031e-85,0.0,0.0
46,1.0,1.0,0.9999781567171908,0.99999166,1.0,1.0,0.0
47,0.0,0.0,2.1960128701887177e-05,1.6714408e-05,4.504998868965385e-54,0.0,0.0
48,0.0,0.0,2.1960135829976627e-05,9.101091e-06,1.2132122846249067e-33,6.538512e-35,0.0
49,0.0,0.0,2.1960135829976627e-05,3.9649058e-06,1.1054804433730003e-85,0.0,0.0
50,0.0,0.0,2.1960135829976627e-05,3.9649058e-06,5.737897934139893e-79,0.0,0.0
51,0.0,0.0,2.1960135829976627e-05,9.05969e-06,1.2529898369304045e-43,0.0,0.0
52,1.0,1.0,0.9999781567171908,0.9999832,1.0,1.0,0.0
53,1.0,1.0,0.9999781857092483,0.9999875,1.0,1.0,0.0
54,0.0,0.0,2.1960135829976627e-05,4.498501e-06,9.175754979907307e-52,0.0,0.0
55,1.0,1.0,0.9999781567171908,0.999987,1.0,1.0,0.0
56,1.0,1.0,0.9999781567171908,0.9999924,1.0,1.0,0.0
57,1.0,1.0,0.9999781567171908,0.9999714,1.0,0.99542713,0.0
58,0.0,0.0,2.1960135829976627e-05,4.498501e-06,3.823532830318349e-53,0.0,0.0
59,1.0,1.0,0.9999781567171908,0.9999808,1.0,1.0,0.0
60,1.0,1.0,0.9999781567171908,0.9999914,1.0,1.0,0.0
61,0.0,0.0,2.1960135829976627e-05,3.9649058e-06,1.1239356343519004e-85,0.0,0.0
62,0.0,0.0,2.1960135864660634e-05,5.4766983e-06,2.1904982942759663e-61,0.0,0.0
63,1.0,1.0,0.9999781567171908,0.99998105,1.0,1.0,0.0
64,1.0,1.0,0.9999781567171908,0.9999957,1.0,1.0,0.0
65,0.0,0.0,2.1960135725728982e-05,1.579265e-05,2.7923471516985174e-26,6.6883895e-27,0.0
66,1.0,1.0,0.9999781567171908,0.9999944,1.0,1.0,0.0
67,0.0,0.0,2.1960135829976627e-05,1.2711276e-05,6.502642861191608e-38,1.830085e-30,0.0
68,0.0,0.0,2.4582147662779556e-05,1.1597252e-05,6.744749391073955e-42,2.4432474e-33,0.0
69,0.0,0.0,2.1960135829976627e-05,4.498501e-06,1.2311260664298865e-64,0.0,0.0
70,1.0,1.0,0.9999781567171908,0.9999864,1.0,1.0,0.0
71,1.0,1.0,0.9999781567171908,0.99995744,1.0,1.0,0.0
72,0.0,0.0,2.1960135829976627e-05,4.4557446e-06,4.217106074799886e-75,0.0,0.0
73,0.0,0.0,2.1960135829976627e-05,4.2856655e-06,3.9931982180666604e-60,0.0,0.0
74,0.0,0.0,2.1960135829976627e-05,5.0553963e-06,3.24632884300667e-72,0.0,0.0
75,1.0,1.0,0.9999781567171908,0.9999881,1.0,1.0,0.0
76,1.0,1.0,0.9999781567171908,0.9999919,1.0,7.45018e-18,0.0
77,0.0,0.0,2.1960135829976627e-05,4.498501e-06,1.160408232917952e-80,0.0,0.0
78,1.0,1.0,0.9999781567171908,0.9999838,1.0,1.0,0.0
79,1.0,1.0,0.9999766974084934,0.9999827,1.0,0.9995369,0.0
80,1.0,1.0,0.9999781575921287,0.99999166,1.0,0.9963521,0.0
81,0.0,0.0,2.1960057673969665e-05,0.000119644195,1.5087394920923491e-139,0.0,0.0
82,0.0,0.0,2.1960135829976627e-05,3.9649058e-06,3.250017829638313e-91,0.0,0.0
83,1.0,1.0,0.9999781567171908,0.99998903,1.0,1.0,0.0
84,0.0,0.0,2.1960135829976627e-05,4.4557446e-06,7.541086096586194e-78,0.0,0.0
85,0.0,0.0,2.1960135829976627e-05,4.498501e-06,1.6582102618652466e-63,0.0,0.0
86,0.0,0.0,2.1960057673969665e-05,0.00026102975,1.3455091806969258e-55,1.9607133e-32,0.0
87,1.0,1.0,0.9999781567171908,0.9999918,1.0,0.99998516,0.0
88,1.0,1.0,0.9999781567171908,0.99996686,1.0,0.99997413,0.0
89,1.0,1.0,0.9999781567171908,0.9999864,1.0,1.0,0.0
90,1.0,1.0,0.9999781567171908,0.9999864,1.0,1.0,0.0
91,0.0,0.0,2.1960135829976627e-05,4.4557446e-06,2.974870859488207e-92,0.0,0.0
92,1.0,1.0,0.9999781567171908,0.9999783,1.0,1.0,0.0
93,1.0,1.0,0.9999781567171908,0.99998355,1.0,0.9999888,0.0
94,0.0,0.0,2.4314850635692243e-05,4.0713944e-06,1.735882961589995e-21,1.1151599e-29,0.0
95,1.0,1.0,0.9999781567171908,0.9999901,1.0,1.0,0.0
96,0.0,0.0,2.1960135829976627e-05,4.4557446e-06,4.967276224411319e-78,0.0,0.0
97,1.0,1.0,0.9999781567171908,0.99998784,1.0,1.0,0.0
98,1.0,1.0,0.9999781567171908,0.9999906,1.0,1.0,0.0
99,1.0,1.0,0.9999781567171908,0.99999106,1.0,1.0,1.0
100,1.0,1.0,0.9999781567171908,0.9999881,1.0,1.0,0.0
101,1.0,1.0,0.9999781572636167,0.9999093,1.0,0.9999811,0.0
102,1.0,0.99,0.9999781567171908,0.9999924,1.0,1.0,0.0
103,0.0,0.0,2.1960135829976627e-05,1.3529769e-05,9.350467428225996e-17,4.2342932e-26,0.0
104,0.0,0.0,2.1960135829976627e-05,5.0553963e-06,8.942180823302192e-69,0.0,0.0
105,1.0,1.0,0.9999781567171908,0.9999893,1.0,1.0,1.0
106,1.0,1.0,0.9999781567171908,0.9999875,1.0,1.0,0.0
