pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,malfind.ninjections,malfind.commitCharge,malfind.protection,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,apihooks.nhooks,apihooks.nhooksInline,apihooks.nhooksUsermode,Class
54,17,19.11111111,0,-0.05555555556,3052,56.51851852,21894,437.88,0,0,0,0,575,1367,132,398,0,0,0,0,0,0,0.0,0.0,0.0,6,1,60,6,14,9,60,0.1,0.01666666667,1,0.1,0.2333333333,0.15,1.0,209.0,0.0,0.0,0,0,0,0,0,49,1,19,38958,38672,38805,1
51,14,21.0,0,-0.03921568627,3048,59.76470588,21760,453.3333333,0,0,1,0,536,1369,128,375,1,0,0,0,0,0,0.0,0.0,0.0,4,0,55,3,11,7,55,0.07272727273,0.0,1,0.05454545455,0.2,0.1272727273,1.0,209.0,0.0,0.0,0,0,0,0,0,48,1,20,37501,37204,37348,1
58,17,19.01724138,0,-0.05172413793,3140,54.13793103,19673,364.3148148,0,0,1,0,0,1410,4,416,0,4,0,0,0,0,0.0,0.0,0.0,2,58,60,2,10,60,60,0.03333333333,0.9666666667,1,0.03333333333,0.1666666667,1.0,1.0,155.0,0.0,0.0,0,0,0,0,0,40,0,17,36283,36038,36130,1
83,26,19.85542169,0,-0.06024096386,4200,50.60240964,3963,52.14473684,0,0,0,0,780,0,196,0,0,0,0,0,0,0,0.0,0.0,0.0,3,83,86,86,86,86,86,0.03488372093,0.9651162791,1,1.0,1.0,1.0,1.0,155.0,0.0,0.0,0,0,0,0,0,40,0,17,40675,40262,40522,1
50,16,16.9,0,-0.04,2878,57.56,17711,376.8297872,0,0,0,0,0,996,0,445,0,0,0,0,0,0,0.0,0.0,0.0,2,50,52,2,9,52,52,0.03846153846,0.9615384615,1,0.03846153846,0.1730769231,1.0,1.0,156.0,0.0,0.0,0,0,0,0,0,44,1,18,33353,33116,33200,1
63,20,18.42857143,0,-0.04761904762,3186,50.57142857,24117,415.8103448,0,0,0,0,473,1479,155,439,0,0,0,0,0,0,0.0,0.0,0.0,6,64,69,6,13,69,69,0.08695652174,0.9275362319,1,0.08695652174,0.1884057971,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,47,1,20,35989,35732,35836,1
49,14,17.3877551,0,-0.04081632653,2909,60.60416667,2870,63.77777778,0,0,0,0,577,0,122,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,50,50,50,4,50,0.02,0.0,1,1.0,1.0,0.08,1.0,210.0,0.0,0.0,0,0,0,0,0,50,0,23,36512,36220,36359,1
71,21,17.85915493,0,-0.04225352113,3709,52.23943662,23132,345.2537313,0,0,0,0,0,1675,0,580,0,1,0,0,0,0,0.0,0.0,0.0,0,71,71,0,8,71,71,0.0,1.0,1,0.0,0.1126760563,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,44,1,19,41036,40762,40883,1
72,20,17.36111111,0,-0.04166666667,3534,49.77464789,22990,343.1343284,0,0,0,0,0,1595,0,526,0,1,0,0,0,0,0.0,0.0,0.0,2,72,74,3,10,74,74,0.02702702703,0.972972973,1,0.04054054054,0.1351351351,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,52,0,22,37644,37010,37491,1
60,19,19.53333333,0,-0.06666666667,3399,57.61016949,20910,380.1818182,0,0,0,1,0,1529,0,455,0,0,0,0,0,0,0.0,0.0,0.0,3,60,63,4,12,63,63,0.04761904762,0.9523809524,1,0.06349206349,0.1904761905,1.0,1.0,209.0,0.0,0.0,0,0,0,0,0,54,0,22,37450,37168,37297,1
