pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
45,17,10.55555556,0,202.8444444,1694,38.5,9129,212.3023256,0,670,3161,46,716,887,104,671,125,184,257,53,95,53,0.030372493,0.054441261,0.030372493,5,21,30,1.25,2,0,3,2,7,4,9,0.042553191,0,0.063829787,0.042553191,0.14893617,0.085106383,0.191489362,138,389,221,26,24,116,0,121,87,0,8,0
47,19,11.53191489,0,242.2340426,2074,44.12765957,11385,242.2340426,0,840,3761,51,1011,1030,117,766,148,337,394,77,123,77,0.036167215,0.057773603,0.036167215,12,77,72,1.714285714,0,0,0,0,4,2,6,0,0,0,0,0.085106383,0.042553191,0.127659574,138,392,222,26,24,118,0,122,87,0,8,0
40,14,14.725,0,288.225,1932,48.3,11529,288.225,0,1050,3996,45,784,1241,100,645,138,369,338,51,89,51,0.026113671,0.045570917,0.026113671,5,6,30,1.25,0,0,0,0,4,2,5,0,0,0,0,0.1,0.05,0.125,137,395,222,26,27,118,0,120,88,0,8,0
32,13,13.5,0,264.28125,1445,45.15625,8457,264.28125,0,630,2961,36,654,792,83,567,127,186,242,31,62,31,0.021483021,0.042966043,0.021483021,2,2,12,1,0,0,0,0,4,2,6,0,0,0,0,0.125,0.0625,0.1875,138,395,222,26,27,118,0,120,88,0,8,0
42,16,11.45238095,0,281.3333333,2067,49.21428571,11816,281.3333333,0,908,3834,45,1252,942,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
40,12,13.8,0,306.95,2082,52.05,12278,306.95,0,1080,4308,44,887,1199,101,768,140,381,382,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,0
43,13,13.81395349,0,305.0232558,2169,50.44186047,13116,305.0232558,0,1150,4727,48,923,1314,107,784,145,438,399,70,111,70,0.032833021,0.05206379,0.032833021,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,0
42,16,11.45238095,0,281.4047619,2067,49.21428571,11819,281.4047619,0,908,3835,45,1252,944,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
42,16,11.45238095,0,281.2619048,2067,49.21428571,11813,281.2619048,0,908,3836,45,1252,945,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,0
40,12,13.875,0,308,2082,52.05,12320,308,0,1080,4321,44,887,1213,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,0
